devis_id;date_emission;mois;exercice;client_id;type_client;agence;commercial;categorie;code_prestation;libelle_prestation;quantite;montant_ht;statut;date_decision;delai_1ere_relance_j;nb_relances
DEV-00011;2022-07-08;2022-07;2022-2023;CLI-0043;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;9816.44;Sans réponse;2022-07-12;5;0
DEV-00012;2022-07-11;2022-07;2022-2023;CLI-0151;Syndic;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;1;7815.09;Refusé;2022-08-07;;0
DEV-00013;2022-07-11;2022-07;2022-2023;CLI-0051;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;8570.48;Refusé;2022-08-08;1;1
DEV-00014;2022-07-11;2022-07;2022-2023;CLI-0098;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-004;Remise en service chaudière;1;223.45;Accepté;2022-07-30;2;1
DEV-00015;2022-07-12;2022-07;2022-2023;CLI-0042;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-002;Débouchage canalisation;1;331.48;Accepté;2022-07-20;3;1
DEV-00016;2022-07-12;2022-07;2022-2023;CLI-0049;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;730.54;Sans réponse;2022-08-01;6;1
DEV-00017;2022-07-12;2022-07;2022-2023;CLI-0083;Collectivité;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;25587.26;Sans réponse;2022-07-28;10;1
DEV-00018;2022-07-13;2022-07;2022-2023;CLI-0079;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-004;Éclairage LED locaux professionnels;1;3374.26;Refusé;2022-08-04;7;2
DEV-00019;2022-07-13;2022-07;2022-2023;CLI-0168;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-004;Remplacement colonne d'évacuation;1;5021.61;Sans réponse;2022-07-30;;0
DEV-00020;2022-07-15;2022-07;2022-2023;CLI-0133;Syndic;Bordeaux;Sophie Marchand;Dépannage;DP-002;Débouchage canalisation;1;737.31;Refusé;2022-08-17;8;2
DEV-00021;2022-07-15;2022-07;2022-2023;CLI-0056;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-002;Recherche de fuite + réparation;1;491.43;Sans réponse;2022-07-23;9;0
DEV-00022;2022-07-15;2022-07;2022-2023;CLI-0014;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-003;Réfection réseau eau appartement;1;3207.71;Sans réponse;2022-07-27;4;2
DEV-00023;2022-07-18;2022-07;2022-2023;CLI-0061;Professionnel;Toulouse;Julien Fabre;Électricité;EL-002;Installation borne de recharge VE;1;2265.82;Sans réponse;2022-08-25;3;3
DEV-00024;2022-07-20;2022-07;2022-2023;CLI-0026;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-001;Rénovation salle de bain complète;1;10132.95;Sans réponse;2022-09-02;12;1
DEV-00025;2022-07-21;2022-07;2022-2023;CLI-0002;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-003;Dépannage électrique urgence;1;311.16;Sans réponse;2022-08-14;;0
DEV-00026;2022-07-21;2022-07;2022-2023;CLI-0156;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-003;Réfection réseau eau appartement;1;3476.87;Accepté;2022-08-13;1;1
DEV-00027;2022-07-21;2022-07;2022-2023;CLI-0094;Professionnel;Toulouse;Julien Fabre;Électricité;EL-003;Rénovation électrique complète;1;16995.08;Sans réponse;2022-08-14;6;3
DEV-00028;2022-07-21;2022-07;2022-2023;CLI-0005;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;262.87;Accepté;2022-08-01;2;1
DEV-00029;2022-07-22;2022-07;2022-2023;CLI-0059;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-001;Mise aux normes tableau électrique;1;1839.23;Sans réponse;2022-08-31;1;3
DEV-00030;2022-07-22;2022-07;2022-2023;CLI-0133;Syndic;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;17449.94;Sans réponse;2022-09-04;5;4
DEV-00031;2022-07-25;2022-07;2022-2023;CLI-0196;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;10167.81;Accepté;2022-08-22;1;4
DEV-00032;2022-07-25;2022-07;2022-2023;CLI-0139;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-001;Rénovation salle de bain complète;1;10695.42;Sans réponse;2022-08-17;6;1
DEV-00033;2022-07-25;2022-07;2022-2023;CLI-0042;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;10068.38;Refusé;2022-08-05;;0
DEV-00034;2022-07-26;2022-07;2022-2023;CLI-0025;Syndic;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;8733.0;Accepté;2022-08-10;3;2
DEV-00035;2022-07-27;2022-07;2022-2023;CLI-0082;Particulier;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;1;3416.7;Sans réponse;2022-08-10;6;2
DEV-00036;2022-07-27;2022-07;2022-2023;CLI-0052;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-002;Remplacement baignoire par douche;1;3641.62;Accepté;2022-08-28;1;1
DEV-00037;2022-07-28;2022-07;2022-2023;CLI-0036;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;422.16;Accepté;2022-08-18;1;2
DEV-00038;2022-07-28;2022-07;2022-2023;CLI-0158;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-002;Installation borne de recharge VE;1;1418.22;Accepté;2022-07-31;1;1
DEV-00039;2022-07-29;2022-07;2022-2023;CLI-0005;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;10620.92;Sans réponse;2022-08-27;;0
DEV-00040;2022-08-01;2022-08;2022-2023;CLI-0178;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;395.72;Sans réponse;2022-09-04;7;3
DEV-00041;2022-08-01;2022-08;2022-2023;CLI-0105;Particulier;Toulouse;Julien Fabre;Chauffage;CH-005;Désembouage circuit chauffage;2;1528.12;Sans réponse;2022-08-28;;0
DEV-00042;2022-08-01;2022-08;2022-2023;CLI-0177;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;387.0;Sans réponse;2022-08-19;8;1
DEV-00043;2022-08-01;2022-08;2022-2023;CLI-0127;Particulier;Toulouse;Julien Fabre;Plomberie;PR-001;Remplacement chauffe-eau 200 L;2;2377.95;Accepté;2022-09-11;4;1
DEV-00044;2022-08-02;2022-08;2022-2023;CLI-0069;Professionnel;Toulouse;Julien Fabre;Plomberie;PR-001;Remplacement chauffe-eau 200 L;2;3750.58;Refusé;2022-08-15;2;2
DEV-00045;2022-08-02;2022-08;2022-2023;CLI-0159;Syndic;Bordeaux;Karim Belkacem;Plomberie;PR-004;Remplacement colonne d'évacuation;1;11164.87;Sans réponse;2022-08-16;1;2
DEV-00046;2022-08-02;2022-08;2022-2023;CLI-0153;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2211.72;Refusé;2022-09-08;1;2
DEV-00047;2022-08-03;2022-08;2022-2023;CLI-0114;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-001;Mise aux normes tableau électrique;3;4741.05;Accepté;2022-08-27;3;1
DEV-00048;2022-08-03;2022-08;2022-2023;CLI-0095;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-001;Dépannage plomberie urgence;1;269.28;Accepté;2022-08-19;6;1
DEV-00049;2022-08-04;2022-08;2022-2023;CLI-0070;Particulier;Toulouse;Julien Fabre;Chauffage;CH-001;Installation chaudière gaz condensation;1;5151.21;Refusé;2022-08-24;2;2
DEV-00050;2022-08-04;2022-08;2022-2023;CLI-0097;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-002;Remplacement baignoire par douche;1;3084.15;Refusé;2022-09-02;11;2
DEV-00051;2022-08-08;2022-08;2022-2023;CLI-0055;Professionnel;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;446.64;Refusé;2022-08-25;5;1
DEV-00052;2022-08-09;2022-08;2022-2023;CLI-0154;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-004;Remise en service chaudière;1;222.49;Accepté;2022-09-01;1;2
DEV-00053;2022-08-09;2022-08;2022-2023;CLI-0155;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2634.9;Sans réponse;2022-09-11;5;3
DEV-00054;2022-08-10;2022-08;2022-2023;CLI-0067;Professionnel;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;16749.18;Accepté;2022-09-01;3;2
DEV-00055;2022-08-11;2022-08;2022-2023;CLI-0079;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-004;Remise en service chaudière;1;196.89;Accepté;2022-09-15;;0
DEV-00056;2022-08-12;2022-08;2022-2023;CLI-0052;Particulier;Toulouse;Julien Fabre;Dépannage;DP-002;Débouchage canalisation;2;702.51;Refusé;2022-09-02;5;1
DEV-00057;2022-08-15;2022-08;2022-2023;CLI-0085;Particulier;Toulouse;Julien Fabre;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;14114.35;Refusé;2022-09-05;;0
DEV-00058;2022-08-15;2022-08;2022-2023;CLI-0109;Professionnel;Toulouse;Julien Fabre;Électricité;EL-001;Mise aux normes tableau électrique;1;3135.61;Accepté;2022-09-19;2;3
DEV-00059;2022-08-16;2022-08;2022-2023;CLI-0122;Particulier;Toulouse;Julien Fabre;Dépannage;DP-004;Remise en service chaudière;1;199.33;Accepté;2022-08-27;1;1
DEV-00060;2022-08-16;2022-08;2022-2023;CLI-0185;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;2;544.21;Accepté;2022-09-11;3;1
DEV-00061;2022-08-16;2022-08;2022-2023;CLI-0163;Particulier;Toulouse;Julien Fabre;Dépannage;DP-003;Dépannage électrique urgence;2;542.8;Accepté;2022-09-16;7;2
DEV-00062;2022-08-17;2022-08;2022-2023;CLI-0140;Syndic;Toulouse;Julien Fabre;Électricité;EL-002;Installation borne de recharge VE;1;3465.25;Accepté;2022-08-29;1;1
DEV-00063;2022-08-17;2022-08;2022-2023;CLI-0040;Professionnel;Bordeaux;Sophie Marchand;Chauffage;CH-005;Désembouage circuit chauffage;1;1249.77;Sans réponse;2022-08-30;;0
DEV-00064;2022-08-18;2022-08;2022-2023;CLI-0003;Professionnel;Toulouse;Julien Fabre;Plomberie;PR-003;Réfection réseau eau appartement;1;5777.72;Accepté;2022-08-25;6;1
DEV-00065;2022-08-18;2022-08;2022-2023;CLI-0141;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;9765.22;Refusé;2022-08-29;;0
DEV-00066;2022-08-19;2022-08;2022-2023;CLI-0140;Syndic;Toulouse;Julien Fabre;Chauffage;CH-005;Désembouage circuit chauffage;1;1629.88;Sans réponse;2022-09-19;;0
DEV-00067;2022-08-22;2022-08;2022-2023;CLI-0121;Syndic;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;20649.1;Sans réponse;2022-10-04;11;2
DEV-00068;2022-08-22;2022-08;2022-2023;CLI-0027;Particulier;Toulouse;Julien Fabre;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1089.83;Sans réponse;2022-08-27;3;1
DEV-00069;2022-08-24;2022-08;2022-2023;CLI-0182;Professionnel;Bordeaux;Karim Belkacem;Plomberie;PR-004;Remplacement colonne d'évacuation;1;10086.79;Refusé;2022-08-27;1;1
DEV-00070;2022-08-24;2022-08;2022-2023;CLI-0160;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;3772.29;Sans réponse;2022-08-29;;0
DEV-00071;2022-08-25;2022-08;2022-2023;CLI-0036;Particulier;Toulouse;Julien Fabre;Plomberie;PR-003;Réfection réseau eau appartement;1;2720.69;Refusé;2022-09-12;5;1
DEV-00072;2022-08-25;2022-08;2022-2023;CLI-0167;Particulier;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;3;1235.22;Sans réponse;2022-09-05;5;1
DEV-00073;2022-08-29;2022-08;2022-2023;CLI-0008;Particulier;Toulouse;Julien Fabre;Chauffage;CH-005;Désembouage circuit chauffage;1;736.14;Accepté;2022-09-24;1;1
DEV-00074;2022-08-29;2022-08;2022-2023;CLI-0080;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-003;Réfection réseau eau appartement;1;3456.85;Sans réponse;2022-09-21;2;1
DEV-00075;2022-08-29;2022-08;2022-2023;CLI-0063;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-004;Éclairage LED locaux professionnels;1;3634.55;Sans réponse;2022-09-15;1;2
DEV-00076;2022-08-30;2022-08;2022-2023;CLI-0209;Particulier;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;1;3348.7;Sans réponse;2022-09-05;6;1
DEV-00077;2022-08-31;2022-08;2022-2023;CLI-0046;Syndic;Toulouse;Julien Fabre;Dépannage;DP-001;Dépannage plomberie urgence;1;529.64;Accepté;2022-09-18;6;3
DEV-00078;2022-08-31;2022-08;2022-2023;CLI-0005;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-001;Remplacement chauffe-eau 200 L;2;2693.16;Sans réponse;2022-09-25;13;1
DEV-00079;2022-09-01;2022-09;2022-2023;CLI-0166;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-001;Mise aux normes tableau électrique;1;1575.87;Accepté;2022-10-07;6;1
DEV-00080;2022-09-02;2022-09;2022-2023;CLI-0047;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;12318.47;Accepté;2022-09-29;4;3
DEV-00081;2022-09-02;2022-09;2022-2023;CLI-0068;Particulier;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;5067.76;Accepté;2022-09-18;8;2
DEV-00082;2022-09-02;2022-09;2022-2023;CLI-0065;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;644.61;Sans réponse;2022-09-29;;0
DEV-00083;2022-09-05;2022-09;2022-2023;CLI-0213;Professionnel;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;6485.38;Sans réponse;2022-09-25;;0
DEV-00084;2022-09-05;2022-09;2022-2023;CLI-0008;Particulier;Toulouse;Julien Fabre;Électricité;EL-002;Installation borne de recharge VE;1;1276.18;Accepté;2022-10-06;3;1
DEV-00085;2022-09-06;2022-09;2022-2023;CLI-0170;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-002;Remplacement baignoire par douche;1;3220.4;Accepté;2022-09-25;5;2
DEV-00086;2022-09-06;2022-09;2022-2023;CLI-0131;Particulier;Toulouse;Julien Fabre;Chauffage;CH-005;Désembouage circuit chauffage;1;733.99;Accepté;2022-10-03;2;2
DEV-00087;2022-09-07;2022-09;2022-2023;CLI-0148;Particulier;Bordeaux;Karim Belkacem;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;1053.03;Sans réponse;2022-09-21;4;1
DEV-00088;2022-09-08;2022-09;2022-2023;CLI-0002;Particulier;Bordeaux;Sophie Marchand;Plomberie;PR-003;Réfection réseau eau appartement;1;3179.39;Refusé;2022-09-24;1;2
DEV-00089;2022-09-12;2022-09;2022-2023;CLI-0103;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1265.01;Refusé;2022-10-06;;0
DEV-00090;2022-09-12;2022-09;2022-2023;CLI-0025;Syndic;Bordeaux;Sophie Marchand;Dépannage;DP-003;Dépannage électrique urgence;1;580.54;Sans réponse;2022-09-27;;0
DEV-00091;2022-09-12;2022-09;2022-2023;CLI-0169;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-004;Éclairage LED locaux professionnels;1;4820.6;Sans réponse;2022-09-16;6;0
DEV-00092;2022-09-13;2022-09;2022-2023;CLI-0117;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;9970.87;Accepté;2022-09-22;3;1
DEV-00093;2022-09-13;2022-09;2022-2023;CLI-0065;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-004;Remise en service chaudière;1;209.36;Accepté;2022-10-14;5;3
DEV-00094;2022-09-13;2022-09;2022-2023;CLI-0025;Syndic;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;11006.55;Sans réponse;2022-10-01;13;1
DEV-00095;2022-09-14;2022-09;2022-2023;CLI-0218;Syndic;Bordeaux;Karim Belkacem;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;2400.78;Accepté;2022-10-30;1;2
DEV-00096;2022-09-14;2022-09;2022-2023;CLI-0009;Particulier;Toulouse;Julien Fabre;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2556.52;Sans réponse;2022-09-22;11;0
DEV-00097;2022-09-15;2022-09;2022-2023;CLI-0214;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;9611.5;Accepté;2022-09-28;5;1
DEV-00098;2022-09-15;2022-09;2022-2023;CLI-0108;Professionnel;Toulouse;Julien Fabre;Salle de bain;SB-003;Pose meuble vasque + robinetterie;1;1921.53;Sans réponse;2022-09-19;4;1
DEV-00099;2022-09-15;2022-09;2022-2023;CLI-0156;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-001;Rénovation salle de bain complète;1;10092.69;Sans réponse;2022-10-06;8;1
DEV-00100;2022-09-15;2022-09;2022-2023;CLI-0069;Professionnel;Toulouse;Julien Fabre;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;20556.28;Accepté;2022-09-23;1;1
DEV-00101;2022-09-16;2022-09;2022-2023;CLI-0094;Professionnel;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;691.89;Sans réponse;2022-10-19;1;2
DEV-00102;2022-09-16;2022-09;2022-2023;CLI-0106;Particulier;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;1;3769.5;Refusé;2022-09-27;11;1
DEV-00103;2022-09-19;2022-09;2022-2023;CLI-0218;Syndic;Bordeaux;Karim Belkacem;Dépannage;DP-004;Remise en service chaudière;1;463.19;Accepté;2022-10-09;8;1
DEV-00104;2022-09-19;2022-09;2022-2023;CLI-0098;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;4733.78;Accepté;2022-10-06;1;2
DEV-00105;2022-09-19;2022-09;2022-2023;CLI-0056;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-004;Éclairage LED locaux professionnels;1;3503.96;Refusé;2022-10-12;;0
DEV-00106;2022-09-21;2022-09;2022-2023;CLI-0126;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;4643.37;Accepté;2022-10-18;2;1
DEV-00107;2022-09-21;2022-09;2022-2023;CLI-0030;Particulier;Toulouse;Julien Fabre;Chauffage;CH-005;Désembouage circuit chauffage;1;761.89;Accepté;2022-10-15;6;3
DEV-00108;2022-09-21;2022-09;2022-2023;CLI-0149;Particulier;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;1;3597.1;Refusé;2022-10-11;3;2
DEV-00109;2022-09-21;2022-09;2022-2023;CLI-0211;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-002;Installation borne de recharge VE;1;1621.86;Accepté;2022-10-05;1;2
DEV-00110;2022-09-22;2022-09;2022-2023;CLI-0115;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-002;Débouchage canalisation;1;316.54;Refusé;2022-10-04;4;1
DEV-00111;2022-09-22;2022-09;2022-2023;CLI-0192;Particulier;Toulouse;Julien Fabre;Plomberie;PR-004;Remplacement colonne d'évacuation;1;5633.94;Sans réponse;2022-10-01;6;1
DEV-00112;2022-09-23;2022-09;2022-2023;CLI-0160;Particulier;Bordeaux;Sophie Marchand;Dépannage;DP-003;Dépannage électrique urgence;1;274.16;Refusé;2022-10-19;;0
DEV-00113;2022-09-26;2022-09;2022-2023;CLI-0215;Particulier;Toulouse;Julien Fabre;Électricité;EL-003;Rénovation électrique complète;1;10533.36;Refusé;2022-10-04;4;1
DEV-00114;2022-09-26;2022-09;2022-2023;CLI-0121;Syndic;Toulouse;Julien Fabre;Dépannage;DP-001;Dépannage plomberie urgence;1;517.36;Accepté;2022-10-17;8;2
DEV-00115;2022-09-28;2022-09;2022-2023;CLI-0067;Professionnel;Bordeaux;Karim Belkacem;Dépannage;DP-002;Débouchage canalisation;1;672.38;Accepté;2022-10-08;1;2
DEV-00116;2022-09-29;2022-09;2022-2023;CLI-0103;Particulier;Toulouse;Julien Fabre;Électricité;EL-002;Installation borne de recharge VE;1;1397.3;Accepté;2022-11-09;7;1
DEV-00117;2022-09-29;2022-09;2022-2023;CLI-0171;Syndic;Toulouse;Julien Fabre;Plomberie;PR-001;Remplacement chauffe-eau 200 L;1;2719.09;Refusé;2022-10-25;;0
DEV-00118;2022-09-30;2022-09;2022-2023;CLI-0072;Particulier;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;3997.87;Accepté;2022-10-17;2;1
DEV-00119;2022-09-30;2022-09;2022-2023;CLI-0061;Professionnel;Toulouse;Julien Fabre;Plomberie;PR-002;Recherche de fuite + réparation;1;703.32;Sans réponse;2022-10-14;;0
DEV-00120;2022-09-30;2022-09;2022-2023;CLI-0087;Particulier;Toulouse;Julien Fabre;Salle de bain;SB-001;Rénovation salle de bain complète;1;8679.85;Sans réponse;2022-11-05;;0
DEV-00121;2022-10-04;2022-10;2022-2023;CLI-0043;Particulier;Toulouse;Julien Fabre;Dépannage;DP-002;Débouchage canalisation;1;314.67;Refusé;2022-11-02;;0
DEV-00122;2022-10-04;2022-10;2022-2023;CLI-0093;Professionnel;Bordeaux;Sophie Marchand;Chauffage;CH-001;Installation chaudière gaz condensation;1;9351.44;Sans réponse;2022-11-06;10;1
DEV-00123;2022-10-05;2022-10;2022-2023;CLI-0018;Particulier;Bordeaux;Karim Belkacem;Salle de bain;SB-002;Remplacement baignoire par douche;1;3686.15;Accepté;2022-10-25;2;3
DEV-00124;2022-10-06;2022-10;2022-2023;CLI-0204;Particulier;Toulouse;Julien Fabre;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;13226.44;Sans réponse;2022-11-04;1;1
DEV-00125;2022-10-07;2022-10;2022-2023;CLI-0077;Particulier;Bordeaux;Sophie Marchand;Électricité;EL-004;Éclairage LED locaux professionnels;1;3367.36;Sans réponse;2022-10-22;7;1
DEV-00126;2022-10-07;2022-10;2022-2023;CLI-0135;Professionnel;Bordeaux;Karim Belkacem;Chauffage;CH-001;Installation chaudière gaz condensation;1;7992.91;Accepté;2022-10-15;1;2
DEV-00127;2022-10-10;2022-10;2022-2023;CLI-0063;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-001;Dépannage plomberie urgence;1;255.22;Accepté;2022-10-18;9;0
DEV-00128;2022-10-10;2022-10;2022-2023;CLI-0001;Professionnel;Bordeaux;Sophie Marchand;Électricité;EL-002;Installation borne de recharge VE;1;2143.5;Sans réponse;2022-11-07;5;2
DEV-00129;2022-10-10;2022-10;2022-2023;CLI-0121;Syndic;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;2;14151.1;Refusé;2022-11-04;6;2
DEV-00130;2022-10-12;2022-10;2022-2023;CLI-0096;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;13023.14;Sans réponse;2022-10-29;1;2
DEV-00131;2022-10-13;2022-10;2022-2023;CLI-0119;Particulier;Bordeaux;Karim Belkacem;Chauffage;CH-005;Désembouage circuit chauffage;1;788.33;Sans réponse;2022-10-29;1;2
DEV-00132;2022-10-13;2022-10;2022-2023;CLI-0036;Particulier;Toulouse;Julien Fabre;Dépannage;DP-003;Dépannage électrique urgence;1;320.63;Accepté;2022-11-02;3;2
DEV-00133;2022-10-14;2022-10;2022-2023;CLI-0206;Syndic;Toulouse;Julien Fabre;Électricité;EL-004;Éclairage LED locaux professionnels;2;14530.66;Sans réponse;2022-10-18;13;0
DEV-00134;2022-10-14;2022-10;2022-2023;CLI-0116;Particulier;Bordeaux;Karim Belkacem;Électricité;EL-001;Mise aux normes tableau électrique;2;3868.01;Accepté;2022-11-14;1;1
DEV-00135;2022-10-14;2022-10;2022-2023;CLI-0214;Particulier;Toulouse;Julien Fabre;Chauffage;CH-004;Remplacement radiateurs (lot de 5);1;2616.62;Accepté;2022-10-31;3;1
DEV-00136;2022-10-14;2022-10;2022-2023;CLI-0055;Professionnel;Bordeaux;Sophie Marchand;Salle de bain;SB-002;Remplacement baignoire par douche;1;5498.67;Refusé;2022-10-28;14;1
DEV-00137;2022-10-17;2022-10;2022-2023;CLI-0186;Particulier;Bordeaux;Karim Belkacem;Dépannage;DP-003;Dépannage électrique urgence;2;662.75;Refusé;2022-11-07;2;1
DEV-00138;2022-10-17;2022-10;2022-2023;CLI-0178;Particulier;Toulouse;Julien Fabre;Chauffage;CH-003;Installation pompe à chaleur air/eau;1;11907.22;Sans réponse;2022-10-20;1;1
